specimen,code,group,family,genus,taxon,TL_m,BZW_mm,Age_100,category
Mesoplodon.bid_USNM593438,Mesj1,odontoceti,ziphiidae,Mesoplodon,Sowerby_beaked_whale,3.8,239.292,110,3-immature
Mesoplodon.ger_1955.6.7.2,Mesn2,odontoceti,ziphiidae,Mesoplodon,Gervais_beaked_whale,2.2,212.336,100,2-late/new
Mesoplodon.ger_USNM504256,Mesa2,odontoceti,ziphiidae,Mesoplodon,Gervais_beaked_whale,4.2,356,120,4-adult
Mesoplodon.hec_1949.8.19.1,Mesj3,odontoceti,ziphiidae,Mesoplodon,Hector_beaked_whale,3.6,238.09,110,3-immature
Monodon_1887.9.8.1,Monf3,odontoceti,monodontidae,Monodon,narwhal,1.3,179.416,73.5,2-late/new
Monodon_1937.10.30.31,Monf1,odontoceti,monodontidae,Monodon,narwhal,0.65,38.22,37.90555885,1-early
Monodon_USNM241127,Monf2,odontoceti,monodontidae,Monodon,narwhal,0.321,47.49,18.71951445,1-early
Monodon_USNM267959,Mona2,odontoceti,monodontidae,Monodon,narwhal,4,347.86,120,4-adult
Monodon_USNM267960,Mona1,odontoceti,monodontidae,Monodon,narwhal,3.95,343.78,120,4-adult
Neophocaena_USNM240001,Neoa2,odontoceti,phocoenidae,Neophocaena,finless_porpoise,1.42,140.03,120,4-adult
Neophocaena_USNM240002,Neoa1,odontoceti,phocoenidae,Neophocaena,finless_porpoise,1.4,139.386,120,4-adult
Neophocoena_1889.8.6.21,Neof1,odontoceti,phocoenidae,Neophocaena,finless_porpoise,0.535,72.56,76.36,2-late/new
Neophocoena_1902.6.10.65,Neoj1,odontoceti,phocoenidae,Neophocaena,finless_porpoise,1.25,113.003,110,3-immature
Neophocoena_1903.9.12.3,Neoj2,odontoceti,phocoenidae,Neophocaena,finless_porpoise,1.28,122.524,110,3-immature
Neophocoena_1966.12.6.1,Neoj3,odontoceti,phocoenidae,Neophocaena,finless_porpoise,1.3,128.636,110,3-immature
Orcaella_1883.11.20.2,Orba1,odontoceti,globicephalinae,Orcaella,Irrawaddy_dolphin,2,195.51,120,4-adult
Orcaella_1964.2.24.1,Orbj1,odontoceti,globicephalinae,Orcaella,Irrawaddy_dolphin,1.75,180.027,110,3-immature
Orcinus_1886.11.22.1,Orcf1,odontoceti,orcininae,Orcinus,killer_whale,1.97,181.516,80,2-late/new
Orcinus_1886.11.22.1a,Orca2,odontoceti,orcininae,Orcinus,killer_whale,4.7,519.93,120,4-adult
Orcinus_1932.13,Orcj1,odontoceti,orcininae,Orcinus,killer_whale,3.81,483.624,110,3-immature
Orcinus_USNM11980,Orca1,odontoceti,orcininae,Orcinus,killer_whale,6,664.059,120,4-adult
Peponocephala_1965.6.2.1,Pepn1,odontoceti,globicephalinae,Peponocephala,melon-headed_whale,1.4,126.992,100,2-late/new
Peponocephala_1972.2,Pepj1,odontoceti,globicephalinae,Peponocephala,melon-headed_whale,1.9,194.766,110,3-immature
Peponocephala_USNM504510,Pepa2,odontoceti,globicephalinae,Peponocephala,melon-headed_whale,2.3,246.273,120,4-adult
Peponocephala_USNM504511,Pepa1,odontoceti,globicephalinae,Peponocephala,melon-headed_whale,2.25,244.703,120,4-adult
Phocoena.diot_1922.11.3.1,Phoj1,odontoceti,phocoenidae,Phocoena,spectacled_porpoise,1.5,130.228,110,3-immature
Phocoena.pho_1865.12.8.43,Phoj2,odontoceti,phocoenidae,Phocoena,harbour_porpoise,1.25,120.748,110,3-immature
Phocoena.pho_1889.2.14.11,Phof1,odontoceti,phocoenidae,Phocoena,harbour_porpoise,0.24,38.44,29.9539131,1-early
Phocoena.pho_1939.17,Phon1,odontoceti,phocoenidae,Phocoena,harbour_porpoise,0.8,96.0072,100,2-late/new
Phocoena.pho_1943.21,Phoj3,odontoceti,phocoenidae,Phocoena,harbour_porpoise,1.13,128.097,110,3-immature
Phocoena.pho_1958.11.21.1,Phoa4,odontoceti,phocoenidae,Phocoena,harbour_porpoise,1.5,137.253,120,4-adult
Phocoena.pho_1958.5.21.1,Phof7,odontoceti,phocoenidae,Phocoena,harbour_porpoise,0.53,62.55,66.14822477,2-late/new
Phocoena.pho_1997.558,Phof9,odontoceti,phocoenidae,Phocoena,harbour_porpoise,0.75,83.06,93.60597845,2-late/new
Phocoena.pho_2021.2,Phoa3,odontoceti,phocoenidae,Phocoena,harbour_porpoise,1.5,146.98,120,4-adult
Phocoena.pho_AMNH212161,Phoa1,odontoceti,phocoenidae,Phocoena,harbour_porpoise,1.4,139.697,120,4-adult
Phocoena.pho_USNM010764,Phof5,odontoceti,phocoenidae,Phocoena,harbour_porpoise,0.302,40.39,37.69200732,1-early
Phocoena.pho_USNM011127,Phof3,odontoceti,phocoenidae,Phocoena,harbour_porpoise,0.191,32.17,23.83832251,1-early
Phocoena.pho_USNM243600,Phof6,odontoceti,phocoenidae,Phocoena,harbour_porpoise,0.338,53.85,42.18509429,1-early
Phocoena.pho_USNM270633,Phof8,odontoceti,phocoenidae,Phocoena,harbour_porpoise,0.718,77.58,89.61212337,2-late/new
Phocoena.pho_USNM504982,Phof4,odontoceti,phocoenidae,Phocoena,harbour_porpoise,0.253,43.67,31.57641673,1-early
Physeter_1952.9.30.2,Phyf3,odontoceti,physeteroidea,Physeter,sperm_whale,4,393.304,95,2-late/new
Physeter_1997.581,Phye3,odontoceti,physeteroidea,Physeter,sperm_whale,0.22,28.08,5.826756518,1-early
Physeter_1997.582,Phyf2,odontoceti,physeteroidea,Physeter,sperm_whale,0.49,58.18,12.97777588,1-early
Physeter_2007.1,Phya1,odontoceti,physeteroidea,Physeter,sperm_whale,14,1674.73,120,4-adult
Physeter_2019.14.8,Phye2,odontoceti,physeteroidea,Physeter,sperm_whale,0.255,28.96,6.753740509,1-early
Platanista_1874.4.13.4,Plan1,odontoceti,platanistidae,Platanista,South_Asian_river_dolphin,1,113.975,100,2-late/new
Platanista_1895.5.20.2,Plaa1,odontoceti,platanistidae,Platanista,South_Asian_river_dolphin,2,182.877,120,4-adult
Platanista_334a,Plaj2,odontoceti,platanistidae,Platanista,South_Asian_river_dolphin,1.7,154.402,110,3-immature
Platanista_USNM172409,Plaj1,odontoceti,platanistidae,Platanista,South_Asian_river_dolphin,1.4,131.338,110,3-immature
Pontoporia_1884.9.12.3,Ponn1,odontoceti,inioidea,Pontoporia,La_Plata_dolphin,1,86.6969,100,2-late/new
Pontoporia_1909.12.1.73,Ponj1,odontoceti,inioidea,Pontoporia,La_Plata_dolphin,1.3,102.741,110,3-immature
Pontoporia_USNM482727,Pona2,odontoceti,inioidea,Pontoporia,La_Plata_dolphin,1.7,115.349,120,4-adult
Pontoporia_USNM482763,Ponj2,odontoceti,inioidea,Pontoporia,La_Plata_dolphin,1.3,104.849,110,3-immature
Pontoporia_USNM482771,Pona1,odontoceti,inioidea,Pontoporia,La_Plata_dolphin,1.6,124.088,120,4-adult
Pseudorca_1936.9.1.1,Psen1,odontoceti,globicephalinae,Pseudorca,false_killer_whale,2.05,215.925,100,2-late/new
Pseudorca_1961.6.14.71,Psen2,odontoceti,globicephalinae,Pseudorca,false_killer_whale,2.5,280,100,2-late/new
Pseudorca_1961.6.14.94,Psef2,odontoceti,globicephalinae,Pseudorca,false_killer_whale,1.8,216.4,95,2-late/new
Pseudorca_1997.552,Psef1,odontoceti,globicephalinae,Pseudorca,false_killer_whale,0.42,45.47,24.34602435,1-early
Pseudorca_AMNH99681,Psea2,odontoceti,globicephalinae,Pseudorca,false_killer_whale,5.9,407.6,120,4-adult
Pseudorca_USNM11320,Psea1,odontoceti,globicephalinae,Pseudorca,false_killer_whale,4,368.625,120,4-adult
Sotalia.tux_1856.8.2.2,Sotj1,odontoceti,delphininae,Sousa_s,tucuxi,1.2,128.33,110,3-immature
Sousa.plum_1903.9.12.2,Soun1,odontoceti,delphininae,Sousa_s,Indian_Ocean_humpback_dolphin,1.3,116.993,100,2-late/new
Sousa.plum_1965.1.6.3,Sounj1,odontoceti,delphininae,Sousa_s,Indian_Ocean_humpback_dolphin,1.65,162.589,110,3-immature
Sousa.plum_USNM550939,Souna1,odontoceti,delphininae,Sousa_s,Indian_Ocean_humpback_dolphin,2.1,189.13,120,4-adult
Sousa.plum_USNM550941,Souna2,odontoceti,delphininae,Sousa_s,Indian_Ocean_humpback_dolphin,2.4,223.185,120,4-adult
Stenella.att_1959.12.31.9,Staj2,odontoceti,delphininae,Stenella,pantropical_spotted_dolphin,1.3,103.912,110,3-immature
Stenella.att_1966.11.18.5,Staa1,odontoceti,delphininae,Stenella,pantropical_spotted_dolphin,2,146.346,120,4-adult
Stenella.att_1990.91,Staj1,odontoceti,delphininae,Stenella,pantropical_spotted_dolphin,1.5,123.337,110,3-immature
Stenella.att_1990.92,Stan1,odontoceti,delphininae,Stenella,pantropical_spotted_dolphin,1,90.544,100,2-late/new
Stenella.att_1997.536,Staf1,odontoceti,delphininae,Stenella,pantropical_spotted_dolphin,0.42,46.45,51.33897015,2-late/new
Stenella.att_USNM504008,Staf5,odontoceti,delphininae,Stenella,pantropical_spotted_dolphin,0.359,45.36,43.88259591,1-early
Stenella.att_USNM504020,Staf4,odontoceti,delphininae,Stenella,pantropical_spotted_dolphin,0.302,42.047,36.91516425,1-early
Stenella.att_USNM504041,Staf2,odontoceti,delphininae,Stenella,pantropical_spotted_dolphin,0.203,26.34,24.81383557,1-early
Stenella.att_USNM504048,Staf6,odontoceti,delphininae,Stenella,pantropical_spotted_dolphin,0.75,77.65,91.67673241,2-late/new
Stenella.att_USNM504052,Staf3,odontoceti,delphininae,Stenella,pantropical_spotted_dolphin,0.271,32.16,33.12585931,1-early
Stenella.cor_1965.1.6.2,Stcj1,odontoceti,delphininae,Stenella,striped_dolphin,1.59,162.714,110,3-immature
Stenella.lon_1990.105,Stlj1,odontoceti,delphininae,Stenella,spinner_dolphin,1.25,119.81,110,3-immature
Stenella.lon_1990.115,Stln1,odontoceti,delphininae,Stenella,spinner_dolphin,0.98,96.87,100,2-late/new
Stenella.lon_1990.122,Stlj2,odontoceti,delphininae,Stenella,spinner_dolphin,1.5,130.455,110,3-immature
Stenella.lon_1992.107,Stln2,odontoceti,delphininae,Stenella,spinner_dolphin,1.07,100.111,100,2-late/new
Stenella.lon_USNM395270,Stla1,odontoceti,delphininae,Stenella,spinner_dolphin,1.54,139.119,120,4-adult
Tursiops.adu_1866.2.5.3,Tadj3,odontoceti,delphininae,Tursiops,Indo-Pacific_bottlenose_dolphin,2.08,197.693,110,3-immature
Tursiops.adu_1882.1.2.3,Tada1,odontoceti,delphininae,Tursiops,Indo-Pacific_bottlenose_dolphin,2.6,182.48,120,4-adult
Tursiops.adu_1883.11.20.4,Tadj1,odontoceti,delphininae,Tursiops,Indo-Pacific_bottlenose_dolphin,1.9,147.198,110,3-immature
Tursiops.adu_1905.3.15.1,Tadj2,odontoceti,delphininae,Tursiops,Indo-Pacific_bottlenose_dolphin,2.3,178.777,110,3-immature
Tursiops.tru_1866.8.7.3,Ttrj5,odontoceti,delphininae,Tursiops,common_bottlenose_dolphin,2.5,225.939,110,3-immature
Tursiops.tru_1884.4.19.1,Ttrf4,odontoceti,delphininae,Tursiops,common_bottlenose_dolphin,0.29,35.9928,25.22616562,1-early
Tursiops.tru_1934.47,Ttrj1,odontoceti,delphininae,Tursiops,common_bottlenose_dolphin,1.41,147.702,111,3-immature
Tursiops.tru_1935.4,Ttrj3,odontoceti,delphininae,Tursiops,common_bottlenose_dolphin,1.89,170.09,112,3-immature
Tursiops.tru_1939.20,Ttrj4,odontoceti,delphininae,Tursiops,common_bottlenose_dolphin,2.18,220.91,113,3-immature
Tursiops.tru_1973.100,Ttrj2,odontoceti,delphininae,Tursiops,common_bottlenose_dolphin,1.85,143.336,110,3-immature
Tursiops.tru_1997.541,Ttrf3,odontoceti,delphininae,Tursiops,common_bottlenose_dolphin,0.29,36.0749,25.22616562,1-early
Tursiops.tru_2021.4,Ttrf2,odontoceti,delphininae,Tursiops,common_bottlenose_dolphin,0.8,89.83,69.58942241,2-late/new
Tursiops.tru_2021.5,Ttrf1,odontoceti,delphininae,Tursiops,common_bottlenose_dolphin,0.295,38.56,26.0960334,1-early
Tursiops.tru_SDNHM23798,Ttra1,odontoceti,delphininae,Tursiops,common_bottlenose_dolphin,2.9,264.575,120,4-adult
